Country,Country_id,Quarantine_type
Luxembourg,LUX,"Self-isolation at own accommodation- subject to PCR test.
<br>
No, it is not required to undergo a mandatory quarantine upon entry.  "
Macao,MAC,"Quarantine requirement at government designated site.

From 21 December residents of Hong Kong, Taiwan or travellers from outside mainland China or Taiwan in the 14 days prior to entry will be subject to 21 days of medical surveillance in a designated centre. Quarantine measures imposed on arrivals returning from middle risk areas in mainland China, and from Taiwan, stay at the current 14 day quarantine period, while arrivals returning from low risk areas in mainland China are still exempted from any quarantine measures."
Madagascar,MDG,"Self-isolation at own accommodation subject to PCR.

To enter Madagascar you will need to provide proof of a negative coronavirus test taken within 72 hours of travel. 
You will also be required to take a test at Ivato International Airport and to self-isolate at your own expense until the test result is received (typically 4 – 5 days). If the test is positive, you may be required to go to a state-mandated facility for treatment."
Madeira Islands,PRT,Unknown
Malawi,MWI,"Self-monitoring required for 14 days.

All other individuals will be required to self-monitor for COVID-19 signs and symptoms for 14 days after arrival."
Malaysia,MYS,"Quarantine requirement at government designated site.

Anyone who gets permission to enter the country under the immigration rules mentioned above will be obliged to enter quarantine for 10 days at a designated government facility."
Maldives,MDV,"Self-isolation at own accommodation.

All non-tourist passengers travelling to Maldives by air (such as residents and returning students) need to self-isolate for 10 days and register on the <a href=""https://haalubelun.hpa.gov.mv/eng/Identity/Account/Login/?ReturnUrl=/"">Haalubelun portal</a>. During the 10 day quarantine period, visitors must also get tested for Covid-19 after 5 days and again after 10 days. These requirements do not apply to tourists and the government has said it has no plans to quarantine tourists on arrival."
Mali,MLI,"Self-isolation at own accommodation or approved site- subject to PCR. 

If you do not present a negative test that is less than 72 hours old on arrival, you will be tested and will be made to quarantine at home or in a hotel while waiting for the test results. If you are showing symptoms, or test positive on arrival, you will be made to go to a government designated facility, until a negative result is obtained. "
Malta,MLT,"Self-isolation at own accommodation- subject to categorisation.
Travellers arriving from countries belonging to the ""Amber List"" who fail to produce a Covid-19 test may be tested upon arrival in Malta and may be subject to quarantine.<br>
Amber List:<br>
Travellers arriving from the ""Amber List"" must provide (before boarding) proof of a negative PCR test for COVID-19, performed within 72 hours prior to their arrival to Malta. Travellers who fail to produce such a test may be tested upon arrival in Malta and may be subject to quarantine. For increased security, random swab tests may be conducted on passengers upon arrival at the Malta International Airport. The list includes the following countries:<br> 
Andorra<br>
Austria<br>
Belgium<br>
Bulgaria<br>
Croatia<br>
Cyprus<br>
Czechia<br>
Estonia<br>
France (all regions except Ile-de-France)<br>
Germany (all airports except Baden-Wurttemberg)<br>
Greece (all airports except Attiki)<br>
Hungary<br>
Ireland<br>
Italy (all airports except Sicily and Sardegna)<br>
Latvia<br>
Liechtenstein<br>
Lithuania<br>
Luxembourg<br>
Monaco<br>
Netherlands<br>
Poland<br>
Portugal (all airports except Madeira and Azores)<br>
Romania<br>
San Marino<br>
Slovakia<br>
Slovenia<br>
Spain (all airports except the Canary Islands)<br>
Sweden<br>
Switzerland<br>
Vatican City<br>
Red List:<br>
All the other countries not included on the Green or Amber List are automatically included on the ""Red List"". Travellers coming from these countries are allowed to enter Malta as long as they have stayed in a ""corridor country"" for a minimum of 14 days. People coming to Malta must not transit through airports located outside the list of corridor countries.
All persons travelling to Malta must complete the <a href=""https://mia-prod-s3-cdn.s3.amazonaws.com/wp-content/uploads/2020/07/Public-Health-Travel-Declaration-Form-2020_RZA_updated.pdf"">Public Health Travel Declaration</a> and the <a href=""https://mia-prod-s3-cdn.s3.amazonaws.com/wp-content/uploads/2020/06/Public-Health-Passenger-Locator-Form.pdf"">Passenger Locator Form</a>.
"
Marshall Islands,MHL,"Quarantine requirement at government designated site.
The RMI government announced on February 15, 2020 the construction of a new eight-bed isolation unit to be built and ready within the next 30 days."
Martinique,MTQ,"Self Isolation required.

Travellers from most destinations will also be required to self-isolate for seven days on arrival in Martinique, before taking another PCR test."
Mauritania,MRT,"Quarantine requirement at government designated site- subject to symptoms.

Passengers showing a high temperature or other symptoms of COVID-19 may be required to take another test, and subject to 14 days of quarantine in a state facility, at their own expense."
Mauritius,MUS,"Quarantine requirement at government designated site.

Travellers entering Mauritius and required to undergo a period of “in room” quarantine in a government-approved hotel on a full board basis for 14 days on arrival."
Mayotte,MYT,"Quarantine Requirement- Unknown where.
Travellers will also be required to self-isolate for seven days on arrival in Martinique, before taking another PCR test."
Mexico,MEX,"No requirement.
There are no mandatory quarantine policies currently in effect in Mexico for confirmed or suspected cases.  The Mexican government encourages people experiencing the symptoms of COVID-19, fever, cough, headaches, throat pain, or constant sneezing, to stay at home for 14 days, consult with, and comply with the instructions of your local healthcare provider. <br>
If you present symptoms of COVID-19 upon arrival at an airport in Mexico, you should ask for the International Health Team (“Sanidad Internacional”). Upon your arrival in Mexico, you will be asked to fill out a Health Questionnaire. This document is available in Spanish and English."
Micronesia (Federated States of),FSM,"Self-isolation at own accommodation.
People who are allowed entry might be subject to a 14-day self-quarantine. Quarantine facilities are available in Pohnpei and Yap and Chuuk States. "
Midway Island,UMI,Unknown
Monaco,MCO,"Self-isolation at own accommodation-if coming from outside EU (country white list exempt).
See French."
Mongolia,MNG,"Quarantine requirement at government designated site.
Travellers must quarantine for 21 days (14 days in an approved hotel followed by 7 days self-quarantine)."
Montenegro,MNE,"Quarantine requirement at government designated site- subject to category and official discretion.                                                                                                   
                                                                                                                                                                                                                   
If you are travelling from the UK and unable to provide a negative PCR test for COVID-19, you will need to quarantine or self-isolate for 14 days. 
If you are travelling from elsewhere you may also be subject to a mandatory quarantine or self-isolation period of 14 days at the direction of sanitary inspectors, for example if you are arriving from a country with a high incidence of coronavirus, have symptoms of coronavirus or if you have been in contact, or are suspected to have been in contact, with someone known to have coronavirus. 
Additional measures may be imposed. Individuals who have had contact with someone diagnosed with coronavirus, or suspected to be infected with coronavirus will be subject to quarantine. All those who were quarantined or self-isolating and who test positive for the coronavirus and are unable to continue self-isolation in their place of residence will be subjected to compulsory institutional isolation. The same rule applies for those who have received hospital treatment for coronavirus and recovered but have not passed two sequential negative coronavirus results; and to those who arrived in Montenegro from abroad and subsequently tested positive for the coronavirus. You should comply with any additional screening and other measures put in place by the authorities to monitor and limit the spread of the virus. Violation of these measures is a criminal offence. Additional measures may be introduced at short notice."
Montserrat,MSR,"Self-isolation at own accommodation or government designated site.

The Government of Montserrat has introduced enhanced health screening and all new arrivals will need to self-isolate. This can be for up to 14 days if isolating at home, or less if you choose to pay to enter a government quarantine centre and give a negative result to a subsequent COVID-19 test after a few days, after which you will be released. Individuals who exhibit signs of the virus may face quarantining at the discretion of the Medical Officer."
Morocco,MAR,"Quarantine requirement at government designated site. 

Anyone who presents symptoms of COVID-19 on arrival will be quarantined at a government-designated facility."
Mozambique,MOZ,"Self-isolation at own accommodation- subject to PCR.

Travellers presenting a negative Covid-19 PCR test are exempt from the quarantine regime. The test must have been issued in the departure country, within 72 hours prior to the time of arrival. Children under 11 years old are exempt from the requirement to present a COVID-19 PCR test. 
Anyone testing positive, or in contact with someone who has tested positive for COVID-19 will be required to self-isolate for a period of 14 days. Anyone who does not present a negative COVID-19 test will need to self-isolate for 14 days. "
Myanmar,MMR,"Quarantine requirement at government designated site.

Arrivals in Myanmar must enter government-arranged quarantine. You will be allotted your quarantine facility on arrival. You may have no choice but will be placed in the same government quarantine facility or hotel as all the other people on your flight. You will be provided with food, for which you will be charged. The exact length of your quarantine will depend on your travel history. You should confirm your quarantine requirements with the relevant Myanmar Embassy or Consulate before you travel."
Namibia,NAM,"Self-isolation at own accommodation or approved site- subject to PCR.

Permanent residents do not need to provide a negative test on arrival but in that case will have to quarantine for 7 days."
Nauru,NRU,"Quarantine requirement outside territory.

Effective 16 March 2020, all persons arriving in Nauru will be required to spend up to 14 days in “Government Transition Accommodation” in Nauru.
Only passengers who have spent at least the previous 14 days in the following countries will be considered eligible to enter Nauru: Australia (NOT including Victoria), Cook Islands, Fiji, Kiribati, Marshall Islands, Micronesia, New Caledonia, New Zealand, Niue, Palau, Samoa, Solomon Islands, Taiwan, Tonga, Tuvalu and Vanuatu. 
Passengers who have transited through, or have been in mainland China, Hong Kong, Macao, Iran, Italy, Korea, Europe, USA or Asia (except Taiwan) in the past 21 days, will not be allowed to enter Nauru."
Navassa Island,UMI,Unknown
Nepal,NPL,"Quarantine Requirement- Unknown where.
Anyone who is eligible to enter Nepal must quarantine for 14 days."
Netherlands,NLD,"Self-isolation at own accommodation.
You must <a href=""https://www.government.nl/topics/coronavirus-covid-19/visiting-the-netherlands-from-abroad/self-quarantine"">self-quarantine for 10 days upon arriving in the Netherlands</a>. You can get tested again on day 5 after your arrival. If the result is negative you can end your quarantine. <a href=""https://www.government.nl/topics/coronavirus-covid-19/visiting-the-netherlands-from-abroad/self-quarantine/exemptions"">Some travellers do not have to self-quarantine</a>, for example, workers in the transport sector. You can self-quarantine at home or in temporary or holiday accommodation. <br>
Mandatory Travel Documentation: If you are travelling by air you must <a href=""https://www.government.nl/topics/coronavirus-covid-19/documents/publications/2020/07/07/information-for-passengers-flying-to-and-from-the-netherlands"">fill in a health declaration</a> and carry it with you. Some airlines allow you to complete this health declaration digitally at check-in.<br>
Other: For some areas of the Caribbean parts of the Kingdom certain restrictions apply, please see www.nederlandwereldwijd.nl (in Dutch).

"
New Caledonia,NCL,"Quarantine requirement at government designated site.

Anyone entering New Zealand needs to undergo quarantine or managed isolation in an approved facility for a minimum of 14 days. Arrivals must then test negative for COVID-19 before entering the community.

From 5 October, travellers to New Zealand will need to register on the Managed Isolation Allocation System as the first step to securing their place in a managed isolation facility. Before you book your flights, you need to register for a voucher for managed isolation. Your voucher allocates you a place in a managed isolation facility. For more information see <a href=""https://www.miq.govt.nz/travel-to-new-zealand/secure-your-place-in-managed-isolation/"">Secure your place in managed isolation</a> 
Provision of a voucher for managed isolation does not guarantee entry into New Zealand. You must first ensure you qualify to enter the country under New Zealand’s border restrictions. You can apply for your MIQ voucher up to 3 months in advance. Space in managed isolation is extremely limited over the Christmas and New Year period and the New Zealand government is asking prospective travellers to regularly check the <a href=""https://allocation.miq.govt.nz/portal/"">Managed Isolation Allocation System</a> website for preferred dates. There are a few exceptional circumstances in which people can apply for an exemption from managed isolation. "
New Zealand,NZL,"Quarantine requirement at government designated site.

Anyone entering New Zealand needs to undergo quarantine or managed isolation in an approved facility for a minimum of 14 days. Arrivals must then test negative for COVID-19 before entering the community."
Nicaragua,NIC,"No requirement.
There may be some screening procedures in place at borders. Immigration or airport officials in Nicaragua may require travellers to report if they have visited any countries significantly affected by COVID-19 and may request negative coronavirus tests. There are no official requirements for documentation related to COVID-19."
Niger,NER,"Quarantine requirement at own accommodation, hotel or government designated site depending on PCR test reults.

If you arrive in Niger by air with a negative COVID-19 test, you will have to self-isolate at your final destination (home, hotel) for seven days. Government of Niger health teams will visit regularly to ensure compliance. The Nigerien police will retain your passport during the seven-day self-isolation period. On the seventh day of self-isolation you will need to take a second COVID-19 test; if the result is negative you can end self-isolation and if the result is positive you will have to follow government isolation procedures.

If you test positive for COVID-19 upon arrival in Niger you will have to isolate in government facilities for 14 days after arrival. All those quarantined are tested for a second time on the 13th day of quarantine.

"
Nigeria,NGA,"Self-isolation at own accommodation-

All new arrivals are expected to self-isolate at one location in the city of their arrival until the result of their second PCR test (which should be taken on day 7 of arrival) is known. If the second test is negative individuals can exit self-isolation from day 8 onwards. Anyone that has developed symptoms of coronavirus during their travel or later tests positive will be managed according to national guidelines for COVID-19 treatment. This may require quarantine at a government-monitored treatment centre."
Niue,NIU,"Quarantine Requirement- Unknown where.
Everyone who arrives will be subject to a 14-day quarantine on arrival."
Norfolk Island,NFK,Unknown
North Macedonia,MKD,"No requirement.

Exception: Passengers arriving from the UK via any route need to self-isolate for 14 days and fill in a form regarding personal and accommodation details on arrival."
Northern Mariana Islands,MNP,"Quarantine Requirement- Unknown where.
Residents of the Northern Mariana Islands are subject to self-quarantine for 14 days, while foreign visitors will be subject to government quarantine, unless they have a negative PCR test for COVID-19 issued within 3-6 days of their arrival. The certificate must be in English. Travelers arriving without a proof of COVID-19 PCR test are subject to quarantine for 5 days."
Norway,NOR,"Self-isolation at own accommodation- subject to categorisation. <br>

Everyone arriving in Norway from abroad shall be in quarantine for 10 days, with the exception of specified countries in Europe with sufficiently low transmission (yellow areas and countries), unless they are mentioned in the exemption provisions.
People who come to Norway from abroad can be released from quarantine if they test negative for COVID-19 with PCR (not rapid antigen test) no earlier than seven days after arrival. The possibility of shortening the entry quarantine during testing depends on whether there is capacity to carry out the tests, or that the employer arranges the tests. If this test is not taken, the person must remain in quarantine for 10 days.
<br>
<br>
<p>Entry from EU Member States + Schengen Associated countries is allowed without restrictions, unless a country or region is defined as high transmission area. The Norwegian Institute of Public Health provides a <strong><a href=""https://www.fhi.no/en/op/novel-coronavirus-facts-advice/facts-and-general-advice/travel-advice-COVID19/#areas-with-sufficiently-low-transmission"" target=""_blank"" rel=""noopener"">map of affected areas</a></strong>, which is updated regularly.</p><p>All travellers entering Norway from countries or regions that are defined as high transmission areas will have to quarantine for 10 days in a designated hotel.&nbsp;The requirement to stay in a designated hotel does not apply to people who reside in Norway or own a home or holiday home in Norway as well as a suitable place to stay during the quarantine period.&nbsp;When you arrive in Norway from a high-risk country, you should travel directly to an appropriate place to stay during quarantine, preferably by private transport. If you need to use public transport, wearing a face mask throughout the journey is strongly required.&nbsp;</p><p><strong><a href=""https://www.fhi.no/en/op/novel-coronavirus-facts-advice/facts-and-general-advice/travel-advice-COVID19/#areas-with-sufficiently-low-transmission"" target=""_blank"" rel=""noopener"">Map with risk classification</a></strong><br />If you arrive from a ""<strong>low-risk</strong>"" (green or yellow) area, you are exempt from quarantine.<br />If you arrive from a ""<strong>high-risk</strong>"" (red or striped)&nbsp;area, a 10-days quarantine is <strong>mandatory</strong>. <br />Striped areas are not evaluated or there are insufficient data about the infection rates.</p><p>Furthermore, people coming from high-risk or striped areas must provide a&nbsp;<strong>certificate of a negative COVID-19 test</strong> taken less than 72 hours before entry.&nbsp;The certificate must be in Norwegian, Swedish, Danish, English, French or German.&nbsp;Foreign nationals who cannot document a negative Covid-19 test upon arrival can be refused entry to Norway. This requirement does not apply to Norwegians, people living in Norway, people in transit or people who frequently cross the border from Sweden and Finland for work purposes. <a href=""https://www.regjeringen.no/en/aktuelt/requirement-of-negative-covid-19-test-to-enter-norway2/id2784134/"" target=""_blank"" rel=""noopener"">Some exceptions</a> may occur as well.&nbsp;</p><p>&nbsp;</p><h3><strong>Find out more:</strong></h3><p><a href=""https://www.fhi.no/en/"" target=""_blank"" rel=""noopener"">https://www.fhi.no/en/</a></p>"
Oman,OMN,"Self-isolation at own accommodation.

The results of the PCR test undertaken at the airport will be sent to your registered phone (usually within 24 hours). You should self-isolate until you receive the result. Regardless of the result of the PCR test taken at the airport, you must self-isolate for 7 days. On the eighth day you can take another PCR test. These can be taken at some hospitals, private health clinics or at a drive through testing facility at Muscat airport. If the result is negative you can have your tracking bracelet removed and end your self-isolation. You may be charged a small additional fee to have the bracelet removed. Foreign nationals with resident status can self-isolate either at their home in Oman or in other accommodation (eg hotels) with proof of their ability to cover living costs during that period. From 15 February, all arrivals (including residents) must self-isolate at a hotel at their own expense."
Pakistan,PAK,"Self-isolation at own accommodation- subject to PCR test.

Those crossing into Pakistan may have to comply with coronavirus testing and quarantine measures. International travellers travelling by air that show symptoms of COVID-19 on arrival are required to take a COVID-19 test and self-isolate if the result is positive. Self-isolation guidance is also available on the Pakistan government COVID-19 website."
Palau,PLW,"Quarantine requirement at government designated site.
All persons entering Palau are being quarantined for 14 days at a quarantine facility established by the government. "
Palmyra Atoll,UMI,Unknown
Panama,PAN,"Quarantine requirement at government designated site- subject to PCR.

Panamanian nationals and residents are allowed to enter Panama if they have been in the UK or South Africa, but will either need to take a COVID19 PCR test no more than 48 hours before they travel, or carry out a test at the airport on arrival at a cost of $50.00..Regardless of the result, all will be required to stay in a designated government quarantine facility for as long as the local health authorities deem necessary. 
 <br>
 Entry to Panama is open to Panamanian nationals, residents, tourists and business Entry to Panama is open to Panamanian nationals, residents, tourists and business travellers who have a negative COVID19 PCR test certificate and who have not spent time in the United Kingdom or South Africa in the 20 days prior to their arrival. The test must be taken no more than 48 hours before you travel. If you cannot do this, a test can be taken at the airport on arrival at a cost of USD 50.00. Travellers are responsible for covering the cost of the test. If you have a negative result, you do not need to quarantine.
In the event of a positive test, you will be required to quarantine for at least 7 days in a government facility. You will be tested after 7 days. If the result is still positive you will need to complete a further 7 days of quarantine at the facility. If it is negative you will be able to leave the facility. 
"
Papua New Guinea,PNG,"Quarantine requirement at government designated site.

Anyone arriving into Papua New Guinea must self-isolate – at their own expense - in a government approved hotel for 14 days unless an exemption has been obtained to quarantine at home. All arrivals will also be subject to monitoring through either an approved tracking device or tracking application at their own cost."
Paraguay,PRY,"Quarantine requirement at government designated site. 
The Government of Paraguay requires all persons arriving to Paraguay to remain in isolation at a government facility or designated hotel for 14 days, regardless of whether symptoms are present.  
Entry for Paraguayans and resident foreign nationals that have visited the UK since 7 December is subject to exceptional authorisation of the Paraguayan government, with a negative PCR test result with 72 hours of arrival and complete a mandatory 10 day quarantine in a ‘health hotel’ or government provided accommodation."
Peru,PER,"Quarantine requirement at government designated site or at own accommodation.

All passengers arriving in Peru, irrespective of nationality, will have to quarantine for 14 days. This can be in a home anywhere in the country or in a government-run facility at the Pan American Games village in Lima. "
Philippines,PHL,"Quarantine requirement at government designated site.

Passengers arriving at any international port of entry may be subjected to mandatory quarantine (for a maximum of 14 days) and/or need to undergo COVID-19 testing either on arrival or on the sixth day of quarantine at the quarantine facility or an assigned laboratory. You’re expected to pay the costs of your quarantine and/or COVID-19 testing. "
Pitcairn,PCN,Unknown
Poland,POL,"Self-isolation at own accommodation- subject to category.

All travellers arriving in Poland by plane, bus, or other means of public transport, are required to quarantine for 10 days, counting from the day following the day of entry.
<br>
<p> The obligation to undergo quarantine is imposed on persons crossing the borders of the Republic of Poland that are also the external borders of the EU, when travelling to their place of residence or stay. Travellers crossing the internal EU borders of the Republic of Poland do not have to undergo a mandatory  quarantine.<br />Further information is available at: <a href=""https://www.gov.pl/web/coronavirus/temporary-limitations"" target=""_blank"" rel=""noopener"">Coronavirus: temporary limitations</a></p>"
Portugal,PRT,"No quaratine requirement for continental Portugal. 
 <br>
Travelling to Portugal from EU Member States and Schengen Associated Countries is allowed without restrictions.<br>
Specific measures for Madeira and Azores: Passengers flying to the Madeira archipelago have to present a negative test to COVID-19 carried out within 72 hours prior to departure or they can perform it upon arrival.<br>
Specific measures for Azores archipelago: Passengers travelling to the Autonomous Region of the Azores by air from areas considered by the World Health Organization to be zones of active community transmission, or with active transmission chains of the SARS-CoV-2 virus, are required to present, prior to shipment, proof, in digital or paper support, of a document issued by a laboratory, national or international, of conducting a diagnostic test to SARS-CoV-2 with a NEGATIVE result.
The SARS-CoV-2 diagnostic test must be performed using the RT-PCR methodology within 72 hours before departure. The document issued by the laboratory that performs the SARS-CoV-2 diagnostic test must contain the identification of the person tested, the laboratory, the date of the test and the result of the test. This requirement does not apply to passengers aged 12 years or less and to exceptional humanitarian situations authorized by the Regional Health Authority. The lack of evidence leads to the practice of a crime of disobedience and the application, on disembarkation, of the testing procedures to SARS-CoV-2.
More information for the Azores are available at <a href=""https://covid19.azores.gov.pt/?page_id=5509"">DestinoSeguro.azores.gov.pt</a>"
Puerto Rico,PRI,"Quarantine Requirement- Unknown where.
All arriving passengers must provide a negative COVID-19 test report obtained 72 hours prior to arrival. If a visitor is not able to bring a negative test result, they will be required to go through a screening process and further tests at the airport and follow quarantine procedures."
Qatar,QAT,"Quarantine requirement at government designated site.

With effect from 29 November, all residents returning from the UK will need to quarantine for 7 days in a government-approved hotel, at their own expense. This must be booked through <a href=""https://www.discoverqatar.qa/welcome-home/"">Discover Qatar</a>. All residents arriving after 22 December on flights originating in the UK will be required to stay at one of two dedicated hotels for their quarantine period: Intercontinental Doha Hotel or Mercure Grand Doha. For those who choose to share quarantine facilities, the period of quarantine will be 14 days. <br>"
Republic of Korea,KOR,"Quarantine requirement at government designated site.
All  arrivals must then quarantine for 14 days. Anyone who tests positive will be isolated and treated at a hospital or community treatment centre. "
Republic of Moldova,MDA,"Self-isolation at own accommodation- subject to categorization.

If you are travelling from a country that is not on the red list, or you are exempt, you are not required to self-isolate for 14 days upon arrival.
If you are transiting a country on the red list, you are required to self-isolate for 14 days unless you are in the following categories:
•        drivers and service personnel carrying out the carriage of goods and means of transport; the crews and service personnel of aircraft/ships, and brigades and service personnel of train sets;
•        persons travelling for health and humanitarian reasons, including their attendants;
•        foreign students who travel for the purpose of admission or are enrolled in educational institutions in Moldova;
•        holders of diplomatic and service passports, members of diplomatic missions and consular offices accredited to Moldova;
•        in transiting through Moldova."
Réunion,REU,"Quarantine Requirement- Unknown where.
Arrivals to Réunion will be required to self-isolate for seven days, before taking another PCR test."
Romania,ROU,"Self-isolation at own accommodation- subject to categorisation.
<br>
Entry from EU Member States and Schengen Associated countries is allowed without restrictions, with the exception of <a href=""https://www.cnscbt.ro/index.php/liste-zone-afectate-covid-19/"">countries or areas that are considered at high epidemiological risk</a>. A 14-days quarantine applies to all persons arriving from countries and areas with high epidemiological risk, and who have the right to enter the national territory, respectively: Romanian citizens, citizens of European Union Member States, European Economic Area or the Swiss Confederation, and persons who fall under one of the exceptions provided by Decree no. 553 of 15.07.2020, Annex 3, art. 2, paragraph 2, letters a) - l).
The quarantine must take place at the person's home, at a declared location or, if needed, at a dedicated location designated by the authorities.
<br>
<br>
<p>A 14-days quarantine applies to all persons arriving from an international journey from countries / areas with high epidemiological risk and who have the right to enter the national territory, respectively: <strong>Romanian citizens</strong>, <strong>citizens of European Union Member States</strong>, <strong>European Economic Area</strong> or the <strong>Swiss Confederation</strong>, and persons who fall under one of the exceptions provided by Decree no. 553 of 15.07.2020, Annex 3, art. 2, paragraph 2, letters a) - l).</p><p>The quarantine must take place at the person's home, at a declared location or, as the case may be, at a dedicated location designated by the authorities.</p><p>Travellers who&nbsp;remain in Romania for less than 3 days (72 hours) and present a negative test for SARS-CoV-2, performed no more than 48 hours before entering the national territory, are exempted from the obligation to self-isolate.</p><p>The quarantine may be reduced to 10 days if a test for SARS-CoV-2, performed on the 8th day of quarantine, provides a negative result.</p><h3>Find out more:</h3><p><a href=""https://www.cnscbt.ro/index.php/liste-zone-afectate-covid-19/2067-lista-state-cu-risc-epidemiologic-ridicat-2-11-2020/file"" target=""_blank"" rel=""noopener"">List of affected areas</a></p></p><p><a href=""http://www.mae.ro/node/51759"" target=""_blank"" rel=""noopener"">List of countries imposing restrictions on travellers coming from Romania</a></p><p><a href=""http://www.mae.ro/node/51982"" target=""_blank"" rel=""noopener"">Travel warnings (Rest of the World)</a></p>
"
Russian Federation,RUS,"Self-isolation at own accommodation- subject to PCR.

On 24 December 2020 the Russian authorities adopted a 14 day quarantine period for any travellers arriving from the UK. This includes passengers arriving for permanent work purposes including Highly Qualified Specialist (HQS) visa holders, who also have to self-isolate for 14 days on arrival in Russia. You will be required to self-isolate if you develop any symptoms of COVID-19 and/or if you test positive for COVID-19. You will be required to self-isolate until you have recovered and tested negative for COVID-19 on a PCR test. You should comply with any additional screening measures put in place by the authorities."
