adm0_name,iso3,X,Y,published,source,airline,info,optional1,optional2,optional3,ObjectId
Australia,AUS,134.354708,-25.573209,25.01.2021,https://worldairlinenews.com/2021/01/25/rex-becomes-a-new-boeing-737-operator-jet-services-to-start-on-march-1/,Rex,"REX (Australia) becomes a new Boeing 737 operator, jet services to start on 01MAR21.",,,,21
Australia,AUS,134.354708,-25.573209,25.01.2021,https://simpleflying.com/virgin-australia-port-moresby/,Virgin Australia,"Virgin won’t return to Port Moresby, Rarotonga and Nuku’alofa. ",,,,22
Australia,AUS,134.354708,-25.573209,02.02.2021,https://www.executivetraveller.com/news/virgin-australia-pushes-back-new-zealand-flights-to-june,Virgin Australia,"Virgin Australia will delay restart of flights to New Zealand until at least June because of COVID-19; services to Bali, other Pacific Islands also pushed back.",,,,23
Australia,AUS,134.354708,-25.573209,04.02.2021,https://www.traveldailymedia.com/virgin-australia-cancel-all-short-haul-international-flights/,Virgin Australia,Virgin Australia cancels all short haul international flights because of COVID-19,,,,24
Australia,AUS,134.354708,-25.573209,08.02.2021,https://simpleflying.com/qantas-south-africa-post-crisis/,Qantas Airways,Qantas looks at South Africa again for post-crisis route,,,,25
Austria,AUT,14.141702,47.58705,03.02.2021,https://aviationweek.com/air-transport/airlines-lessors/swiss-austrian-tap-reduce-capacity-travel-rules-tighten,"Austrian, SWISS, TAP","Austrian, SWISS, TAP Reduce Capacity As Travel Rules Tighten",,,,26
Austria,AUT,14.141702,47.58705,14.01.2021,https://www.flightglobal.com/fleets/austrian-to-start-767-phase-out-in-march/141942.article,Austrian,Austrian to phase-out Boeing 767s in March.,,,,27
Azerbaijan,AZE,50.010647,40.392295,26.01.2021,https://menafn.com/1101495645/Azerbaijan-Airlines-increases-flights-number-on-Baku-Nakhchivan-route&source=27,Azerbaijan Airlines,Azerbaijan Airlines will increase flights between Baku and Nakhichevan from 1 February,,,,28
Azerbaijan,AZE,50.010647,40.392295,04.02.2021,https://www.news.az/news/aeroflot-launches-flights-on-route-moscow-baku-moscow,Azerbaijan Airlines,"Aeroflot, Azerbaijan Airlines launch flights between Baku and Moscow ",,,,29
Azores Islands,PRT,-25.494913,37.77694,,,,,,,,30
Bahamas,BHS,-78.051117,24.695466,,,,,,,,31
Bahrain,BHR,50.547509,26.054724,09.02.2021,https://www.arabianaerospace.aero/gulf-air-resumes-direct-flights-to-colombo.html,Gulf Air,Gulf Air resumes direct flights to Colombo,,,,32
Baker Island,UMI,-176.47834,0.194787,,,,,,,,33
Bangladesh ,BGD,90.28042,23.927884,01.02.2021,https://myrepublica.nagariknetwork.com/news/biman-bangladesh-to-resume-flights-to-kathmandu-from-february-18/,Biman Bangladesh,Biman Bangladesh Airlines to resume regular commercial flights between Dhaka and Kathmandu from 18 February.,,,,34
Bangladesh ,BGD,90.28042,23.927884,03.01.2021,https://en.somoynews.tv/11594/news/Biman-cancels-two-Sylhet-London-flights,Biman Bangladesh,"Biman Bangladesh Airlines cancels its Sylhet-London flights on 23, 30 January because of new strain of COVID-19 ",,,,35
Bangladesh ,BGD,90.28042,23.927884,20.01.2021,https://www.thedailystar.net/business/news/us-bangla-sets-sights-dhaka-dubai-route-2030229,US-Bangla,US-Bangla sets sights on Dhaka-Dubai route.,,,,36
Barbados,BRB,-59.53546,13.13996,04.01.2021,http://www.virginislandsdailynews.com/liat-resumes-flying-to-bvi/article_9877a49d-febc-5c3a-8501-d6df6aa52c77.html,LIAT,LIAT resumes flights to British Virgin Islands amid COVID-19 concerns ,,,,37
Barbados,BRB,-59.53546,13.13996,18.01.2021,https://www.loopnewsbarbados.com/content/caribbean-airline-organising-special-flights-barbados-canada-us,Caribbean Airlines,Caribbean Airlines organizing special flights from Barbados to USA and Canada.,,,,38
Bassas da India,xFR,39.748618,-21.46322,,,,,,,,39
Belarus,BLR,28.0494,53.541933,18.01.2021,https://eng.belta.by/society/view/belavias-flights-to-geneva-grounded-till-30-october-136669-2021/,Belavia,"Belavia extends suspension of flights to Ashgabat and Riga until 1 March, to Budapest and Almaty until 27 March, and to Geneva until 30 October",,,,40
Belarus,BLR,28.0494,53.541933,04.02.2021,https://eng.belta.by/society/view/belavia-to-resume-flights-to-russias-saint-petersburg-rostov-on-don-137177-2021/,Belavia,Belavia will resume flights to St Petersburg and Rostov-on-Don from 12 February,,,,41
Belgium,BEL,4.660713,50.640947,07.01.2021,https://worldairlinenews.com/2021/01/06/air-antwerp-delays-its-restart-to-london-to-march-1/,Air Antwerp,Air Antwerp delays its restart to London to 01MAR21.,,,,42
Belgium,BEL,4.660713,50.640947,21.01.2021,https://www.aviation24.be/airlines/lufthansa-group/brussels-airlines/brussels-airlines-to-cancel-900-flights-in-february-and-march/?utm_source=rss&utm_medium=rss&utm_campaign=brussels-airlines-to-cancel-900-flights-in-february-and-march,Brussels Airlines ,Brussels Airlines to cancel 900 flights in February and March,,,,43
Belgium,BEL,4.660713,50.640947,23.01.2021,https://www.aviation24.be/airlines/air-belgium/air-belgium-suspends-scheduled-flights-from-30-january-to-1-march/,Air Belgium,Air Belgium suspends scheduled flights from 30 January to 1 March,,,,44
Belgium,BEL,4.660713,50.640947,04.02.2021,https://airlinegeeks.com/2021/02/02/air-belgium-plans-cargo-hub-in-liege/,Air Belgium,Air Belgium Plans Cargo Hub in Liège.,,,,45
Belize,BLZ,-88.708794,17.19908,,,,,,,,46
Benin,BEN,2.339979,9.653766,,,,,,,,47
Bi'r Tawīl,"SDN, EGY",33.687997,21.888666,,,,,,,,48
Bird Island,VEN,-63.617377,15.668231,,,,,,,,49
Bonaire,BES,-68.308064,12.226704,,,,,,,,50
Bosnia and Herzegovina,BIH,17.785036,44.168219,18.01.2021,http://www.sarajevotimes.com/ryanair-has-temporary-suspended-all-flights%E2%80%8B-from-bosnia/,Ryanair,Ryanair temporarily suspends all flights from Bosnia.,,,,51
Bosnia and Herzegovina,BIH,17.785036,44.168219,04.02.2021,https://simpleflying.com/wizz-air-sarajevo-expansion/,Wizz Air,Wizz Eyes Expansion With Nine New Sarajevo Routes.,,,,52
Brazil,BRA,-53.089656,-10.772064,14.01.2021,https://www.aviacionline.com/2021/01/azul-va-hasta-la-india-a-buscar-2-millones-de-dosis-de-vacunas-contra-el-covid-19/,Azul,Brazilian Azul flies to India to retrieve 2 million vaccines.,,,,53
Brazil,BRA,-53.089656,-10.772064,15.01.2021,https://simpleflying.com/gol-1000-max-flights/,GOL,Brazil’s GOL Expects To Operate Over 1000 MAX Flights This Month,,,,54
British Virgin Islands,VGB,-64.59433,18.430285,04.01.2021,http://www.virginislandsdailynews.com/liat-resumes-flying-to-bvi/article_9877a49d-febc-5c3a-8501-d6df6aa52c77.html,LIAT,LIAT resumes flights to British Virgin Islands amid COVID-19 concerns ,,,,55
Bulgaria,BGR,25.237625,42.757311,01.02.2021,https://dominicantoday.com/dr/tourism/2021/01/30/gullivair-new-airline-in-bulgaria-makes-its-first-flight-to-punta-cana/,Gullivar,"Gullivair new Bulgarian airline makes its first flight to Punta Cana, Dominican Republic ",,,,56
Bulgaria,BGR,25.237625,42.757311,02.02.2021,https://www.novinite.com/articles/207867/Bulgaria+Air+Launches+Regular+Flights+to+Ten+New+Destinations,Bulgaria Air,Bulgaria Air Launches Regular Flights to Ten New Destinations.,,,,57
Bulgaria,BGR,25.237625,42.757311,08.02.2021,https://seenews.com/news/bulgaria-air-increases-flight-frequency-on-sofia-varna-route-730498,Bulgaria Air,Bulgaria Air increases flight frequency on Sofia-Varna route,,,,58
Burkina Faso,BFA,-1.735501,12.273481,29.01.2021,https://simpleflying.com/air-burkina-airbus-a220/,Air Burkina,Burkina Faso’s Air Burkina Eyes The Airbus A220 Alongside ERJs,,,,59
Canada,CAN,-102.46617,58.040219,01.02.2021,https://www.cbc.ca/news/business/air-transat-suspension-airline-restrictions-1.5894213,Air Transat,"Air Transat (Canada) temporarily shutting down, other airlines offer refunds amid new pandemic measures.",,,,60
Canada,CAN,-102.46617,58.040219,11.01.2021,https://worldairlinenews.com/2021/01/08/westjet-slashes-capacity-in-response-to-rushed-government-testing-regime/,West Jet,WestJet slashes capacity in response to rushed government testing regime.,,,,61
Canada,CAN,-102.46617,58.040219,12.01.2021,https://worldairlinenews.com/2021/01/12/porter-airlines-updates-tentative-restart-of-flights-to-march-29/,Porter Airlines,Canadian Porter Airlines updates tentative restart of flights to 29 March.,,,,62
Canada,CAN,-102.46617,58.040219,12.01.2021,Media reports,Air Canada,Air Canada suspends flights to Yellowknife from 23 January,,,,63
Canada,CAN,-102.46617,58.040219,12.01.2021,https://www.cbc.ca/news/canada/new-brunswick/air-canada-flights-fredericton-airport-1.5870450,Air Canada,Air Canada will suspend all flights to New Brunswick's Fredericton International Airport from 23 January,,,,64
Canada,CAN,-102.46617,58.040219,13.01.2021,https://www.kamloopsthisweek.com/news/air-canada-suspends-all-kamloops-flights-1.24266338,Air Canada,Air Canada suspends all passenger flights to Kamloops Airport from 23 January ,,,,65
Canada,CAN,-102.46617,58.040219,13.01.2021,https://www.cbc.ca/news/canada/newfoundland-labrador/air-canada-three-flights-cut-1.5870725,Air Canada,Air Canada suspends some passengers flights in Newfoundland and Labrador route from 23 January ,,,,66
Canada,CAN,-102.46617,58.040219,14.01.2021,https://simpleflying.com/air-canada-flights-job-cuts/,Air Canada,"Air Canada Cuts 25% Of Flights With 1,700 Jobs Affected.",,,,67
Canada,CAN,-102.46617,58.040219,15.01.2021,https://www.traveloffpath.com/air-canada-announces-more-flight-cancellations/,Air Canada,Air Canada announces more cancellations.,,,,68
Canada,CAN,-102.46617,58.040219,16.01.2021,https://energeticcity.ca/2021/01/15/cma-suspends-flights-in-fsj/,Central Mountain Air ,CMA suspends flights in FSJ,,,,69
Canada,CAN,-102.46617,58.040219,18.01.2021,https://www.airlineratings.com/news/air-canada-joins-westjet-slashing-capacity/,Air Canada,Air Canada joins Westjet in slashing capacity.,,,,70
Canada,CAN,-102.46617,58.040219,20.01.2021,https://www.royalgazette.com/tourism/news/article/20210120/air-canada-flights-suspended-until-april/,Air Canada,Air Canada flights from Toronto to Bermuda suspended until at least 12 April,,,,71
Canada,CAN,-102.46617,58.040219,20.01.2021,https://www.alaskahighwaynews.ca/regional-news/fort-nelson/cma-to-suspend-fort-nelson-flights-1.24269909,Central Mountain Air ,Central Mountain Air will suspend flights between Fort Nelson and Prince George from 3 February,,,,72
Canada,CAN,-102.46617,58.040219,21.01.2021,https://ticotimes.net/2021/01/18/air-canada-route-cuts-impact-costa-rica-flights-report-says,Air Canada,Montreal to the San José (SJO) flights suspended.,,,,73
Canada,CAN,-102.46617,58.040219,25.01.2021,https://simpleflying.com/air-canada-787-cairo/,Air Canada,Air Canada will launch Boeing 787 flights to Cairo.,,,,74
Canada,CAN,-102.46617,58.040219,25.01.2021,https://simpleflying.com/montreal-delhi-air-canada/,Air Canada,Air Canada adding new Montreal To New Delhi route.,,,,75
Canada,CAN,-102.46617,58.040219,04.02.2021,https://www.680news.com/2021/02/03/air-canada-rouge-suspending-all-flights-around-80-employees-will-face-layoffs/,Air Canada,Air Canada Rouge suspending all flights 8 February. ,,,,76
Canada,CAN,-102.46617,58.040219,27.01.2021,https://ca.travelpulse.com/news/airlines/transat-cancels-flights-from-toronto-through-april-30-montreal-flights-continue.html,Air Transat,Air Transat will suspend all flights from Toronto from 28 January to 30 April,,,,77
Canada,CAN,-102.46617,58.040219,28.01.2021,https://economyclassandbeyond.boardingarea.com/2021/01/27/flair-airlines-to-add-13-boeing-737-max-to-its-fleet/,Flair Airlines,Flair Airlines of Canada to add 13 Boeing 737 MAX to its fleet.,,,,78
Canada,CAN,-102.46617,58.040219,01.02.2021,https://simpleflying.com/air-canada-max-flights/,Air Canada,Air Canada resumes Boeing 737 MAX flights ,,,,79
Canada,CAN,-102.46617,58.040219,03.02.2021,https://ca.travelpulse.com/news/airlines/westjet-adds-extra-flights-to-canada-from-caribbean-and-mexico.html,WestJet,WestJet Adds Extra Flights to Canada From Caribbean and Mexico,,,,80
Canada,CAN,-102.46617,58.040219,04.02.2021,https://simpleflying.com/sunwing-airlines-loan/,Sunwing,Sunwing Airlines Secures $375 Million Loan From Canada.,,,,81
Canada,CAN,-102.46617,58.040219,09.02.2021,https://toronto.citynews.ca/2021/02/09/air-canada-suspending-more-flights-temporarily-laying-off-1500-more-employees/,Air Canada,Air Canada suspends more flights until at least 30 April because of COVID-19 crisis,,,,82
Canada,CAN,-102.46617,58.040219,10.02.2021,Prince George Matters ,Flair Airlines,"Flair Airlines to resume flights from Prince George Airport in British Columbia, on 1 May",,,,83
Canary Islands,ESP,-16.549663,28.283759,,,,,,,,84
Cape Verde,CPV,-23.624781,15.083715,,,,,,,,85
Cayman Islands,CYM,-81.243444,19.318294,03.02.2021,https://airlinegeeks.com/2021/02/03/48789/,Cayman Airways,Cayman Airways will resume Boeing 737 MAX flights,,,,86
Central African Republic,CAF,20.935595,7.003721,,,,,,,,87
Chad,TCD,18.666184,15.362793,,,,,,,,88
Chagos Archipelagio,IOT,72.459611,-7.40237,,,,,,,,89
China,CHN,104.140337,32.309904,01.02.2021,"https://asianaviation.com/report-hainan-airlines-owner-hna-group-in-bankruptcy-after-debt-restructuring-fails/#:~:text=HNA%20Group%2C%20one%20of%20China's,the%20South%20China%20Morning%20Post.",Hainan Airlines,Hainan Airlines owner HNA Group in bankruptcy after debt restructuring fails,,,,90
China,CHN,104.140337,32.309904,14.01.2021,http://www.xinhuanet.com/english/asiapacific/2021-01/14/c_139667305.htm,China Eastern,China Eastern resumes air route linking Kunming and Bangkok ,,,,91
China/India,"CHN, IND",79.333961,32.875909,,,,,,,,92
Christmas Island,CXR,105.637062,-10.485213,,,,,,,,93
Clipperton Island,PYF,-109.21719,10.303389,,,,,,,,94
Cocos (Keeling) Islands,CCK,96.829094,-12.18439,,,,,,,,95
Colombia,COL,-73.079481,3.904939,01.02.2021,https://simpleflying.com/avianca-has-almost-resumed-100-routes/,Avianca,Avianca almost resumed 100 routes,,,,96
Colombia,COL,-73.079481,3.904939,01.02.2021,https://www.transponder1200.com/avianca-suspende-sus-vuelos-a-brasil/,Avianca,Avianca suspends flights to Brazil.,,,,97
Colombia,COL,-73.079481,3.904939,01.02.2021,https://simpleflying.com/europe-avianca-key-market/,Avianca,Avianca sees Europe as key market despite restrictions.,,,,98
Colombia,COL,-73.079481,3.904939,15.01.2021,https://www.dw.com/es/el-salvador-multa-a-avianca-por-transportar-a-pasajero-con-covid-19/a-56228117,Avianca,El Salvador fines Avianca for transporting COVID positive passenger.,,,,99
Colombia,COL,-73.079481,3.904939,18.01.2021,https://www.elquindiano.com/noticia/24076/avianca-aumenta-vuelos-entre-armenia-y-bogota-hasta-el-31-de-enero,Avianca,"Avianca increases its Bogota-Armenia (Colombia) frequency, until 31JAN21.",,,,100
Colombia,COL,-73.079481,3.904939,28.01.2021,https://aviacionaldia.com/2021/01/colombia-restringe-vuelos-desde-y-hacia-brasil.html,Avianca/ LATAM,Colombia restricts flights to/from Brazil.,,,,101
Colombia,COL,-73.079481,3.904939,28.01.2021,https://www.aviacionline.com/2021/01/wingo-retoma-sus-vuelos-entre-bogota-y-mexico/,Wingo,Wingo resumes flights between Bogotá and México,,,,102
Colombia,COL,-73.079481,3.904939,29.01.2021,https://airlinegeeks.com/2021/01/28/avianca-strengthens-network-increases-number-of-routes-by-77/,Avianca,"Avianca Strengthens Network, Increases Number of Routes by 77%",,,,103
Colombia,COL,-73.079481,3.904939,02.02.2021,https://simpleflying.com/avianca-ontario-flights/,Avianca,Avianca Is Coming To Ontario International Airport In July,,,,104
Myanmar,MMR,96.517823,21.201016,02.02.2021,https://finance.yahoo.com/news/myanmar-national-airlines-says-resuming-144228767.html,MNA,Myanmar National Airlines will restart its domestic and international repatriation flights on 4 February following closure of Yangon Airport.,,,,105
Myanmar,MMR,96.517823,21.201016,08.02.2021,https://www.ttrweekly.com/site/2021/02/mai-resumes-services-to-kuala-lumpur/,MAI,MAI resumes services to Kuala Lumpur,,,,106
Namibia,NAM,17.22161,-22.138825,29.01.2021,https://www.namibian.com.na/98432/read/Air-Namibias-future-in-doubt,Air Namibia,Air Namibia's future in doubt,,,,107
Namibia,NAM,17.22161,-22.138825,02.02.2021,https://www.ch-aviation.com/portal/news/100042-govt-poised-to-decide-on-fate-of-loss-making-air-namibia,Air Namibia,Government poised to decide on the fate of Air Namibia.,,,,108
Namibia,NAM,17.22161,-22.138825,04.02.2021,https://www.ch-aviation.com/portal/news/100149-air-namibia-board-resigns-over-spat-with-govt,Air Namibia,Air Namibia board resigns over spat with government.,,,,109
Namibia,NAM,17.22161,-22.138825,11.02.2021,https://www.aviation24.be/airlines/air-namibia/suspends-operations-with-immediate-effect/?utm_source=feedly&utm_medium=rss&utm_campaign=suspends-operations-with-immediate-effect,Air Namibia,Air Namibia suspends operations with immediate effect,,,,110
Nauru,NRU,166.934165,-0.5285,14.01.2021,https://www.ch-aviation.com/portal/news/99426-nauru-airlines-targets-b737ngs-for-fleet-renewal?utm_source=dlvr.it&utm_medium=twitter,Nauru Airlines,Nauru Airlines targets B737NGs for fleet renewal,,,,111
Navassa Island,UMI,-75.012453,18.401927,,,,,,,,112
Nepal,NPL,83.946789,28.258663,19.01.2021,https://airlinergs.com/himalaya-airlines-takes-off-to-lhasa-for-test-flight/,Himalaya Airlines,Himalaya Airlines takes-off to Lhasa for test flight.,,,,113
Netherlands,NLD,5.331481,51.867289,04.01.2021,https://www.ttnworldwide.com/Article/314613/Etihad-launches-first-aircraft-carbon-offset-programme,KLM,KLM adds Riyadh as a new destination.,,,,114
Netherlands,NLD,5.331481,51.867289,05.01.2021,https://www.aviation24.be/airports/amsterdam-schiphol-ams/amsterdam-airport-schiphol-saw-20-9-million-passengers-last-year-71-less-than-in-2019/?utm_source=rss&utm_medium=rss&utm_campaign=amsterdam-airport-schiphol-saw-20-9-million-passengers-last-year-71-less-than-in-2019,KLM,"Amsterdam airport saw 20.9 million passengers last year, 71% fewer than in 2019.",,,,115
Netherlands,NLD,5.331481,51.867289,15.01.2021,https://www.corkbeo.ie/news/local-news/klm-cancels-flights-amsterdam-cork-19634545,KLM,"KLM cancels its flights to Cork until 23 January because of 'operational and crew issues'; negative COVID-19 test, quarantine required for entering Ireland",,,,116
Netherlands,NLD,5.331481,51.867289,20.01.2021,"https://leaderpost.com/pmn/business-pmn/dutch-klm-halts-long-haul-flights-due-to-new-covid-19-rule#:~:text=AMSTERDAM%20%E2%80%94%20KLM%2C%20the%20Dutch%20subsidiary,spokeswoman%20for%20the%20airline%20said.",KLM,Dutch KLM halts long-haul flights due to new COVID-19 rule.,,,,117
Netherlands,NLD,5.331481,51.867289,22.01.2021,https://www.bloomberg.com/news/articles/2021-01-21/klm-to-cut-as-many-as-1-000-jobs-as-travel-recovery-hopes-fade,KLM,KLM to cut as many as 1000 Jobs as travel recovery hopes fade.,,,,118
Netherlands,NLD,5.331481,51.867289,23.01.2021,https://uk.sports.yahoo.com/news/airline-aviation-industry-klm-coronavirus-halting-flights-uk-more-deadly-strain-boris-johnson-123711324.html?guccounter=1&guce_referrer=aHR0cHM6Ly9iY2R0cmF2ZWwuaW50ZWxsaWd1aWRlLmNvbS8&guce_referrer_sig=AQAAAAAFjG_lTB56ewPdPrh9VoA048t8G30PTeU6NfF95nA_bJRxCYhV9GeEeAF3Xk4p07xvbkAssX1T1OTNoSoWfD4CaApbkDfpo8Q9q3BtgnpaADLE9yaROrSi3EIlILrqkmv5ijWdeIw57bY0fr8n5YlQdX9QBBrWdBa63Xp0Bmdc,KLM,KLM stops UK flights as Britain battles more ‘deadly’ COVID-19 strain,,,,119
Netherlands,NLD,5.331481,51.867289,24.01.2021,https://reut.rs/3ogc5jE,KLM,KLM will continue operating long-haul flights after government softens its COVID-19 requirements for air crews,,,,120
Netherlands,NLD,5.331481,51.867289,26.01.2021,https://www.aircargonews.net/airlines/klm-maintains-network-after-reaching-covid-testing-agreement/,KLM,KLM maintains network after reaching Covid testing agreement.,,,,121
Netherlands,NLD,5.331481,51.867289,29.01.2021,http://tradearabia.com/news/TTN_377983.html,KLM,Riyadh Airport marks launch of new flight route to Amsterdam.,,,,122
New Zealand,NZL,170.475567,-43.987216,15.01.2021,https://www.stuff.co.nz/travel/news/300205689/air-new-zealand-passenger-numbers-dropped-by-more-than-50-per-cent-in-2020,Air New Zealand,Air NZ passenger numbers dropped by more than 50% in 2020.,,,,123
New Zealand,NZL,170.475567,-43.987216,20.01.2021,https://www.webwire.com/ViewPressRel.asp?aId=269128,Air New Zealand,Air New Zealand is teaming up with the Institute of Environmental Science and Research (ESR) to look at the effectiveness of saliva testing in detecting COVID-19.,,,,124
New Zealand,NZL,170.475567,-43.987216,21.01.2021,https://simpleflying.com/air-new-zealand-network-july/,Air New Zealand,Air NZ outlines network plan until July,,,,125
New Zealand,NZL,170.475567,-43.987216,24.01.2021,https://www.stuff.co.nz/travel/news/124046105/covid19-all-air-new-zealand-passengers-will-now-have-to-wear-face-masks,Air New Zealand,Covid-19: All Air New Zealand passengers will now have to wear face masks,,,,126
Nicaragua,NIC,-85.038304,12.845729,14.01.2021,https://todaynicaragua.com/nicaraguas-augusto-c-sandino-an-international-airport-with-only-one-airline/,Avianca,The only airline flying into Managua is Colombia’s Avianca.,,,,127
Niger,NER,9.403063,17.423744,,,,,,,,128
Nigeria,NGA,8.111462,9.619246,05.01.2021,https://simpleflying.com/azman-air-airbus-a340-dubai/,Azman Air,Azman Air Seeks A Second Airbus A340 To Launch Dubai Flights,,,,129
Nigeria,NGA,8.111462,9.619246,11.01.2021,https://www.ch-aviation.com/portal/news/99003-nigerias-azman-air-to-add-b737ngs-more-a340s,Azman Air,"Nigeria's Azman Air to add B737NGs, more A340s",,,,130
Nigeria,NGA,8.111462,9.619246,20.01.2021,https://tribuneonlineng.com/air-peace-resumes-dubai-flights-february-5/,Air Peace,Air Peace will resume flights between Lagos and Dubai on 5 February,,,,131
Nigeria,NGA,8.111462,9.619246,22.01.2021,https://worldairlinenews.com/2021/01/21/green-africa-airways-is-getting-ready-to-start-operations/,Green Africa,Nigeria’s Green Africa Airways is getting ready to start operations.,,,,132
Nigeria,NGA,8.111462,9.619246,25.01.2021,https://www.ch-aviation.com/portal/news/99789-nigerias-air-peace-resumes-incl-ops-in-mid-1q21?utm_source=dlvr.it&utm_medium=twitter,Air Peace,Nigeria's Air Peace resumes intercontinental ops in mid-1Q21,,,,133
Nigeria,NGA,8.111462,9.619246,29.01.2021,https://simpleflying.com/air-peace-e195-e2-business-class/,Air Peace,Air Peace’s first E195-E2 has a groundbreaking business cabin.,,,,134
Niue,NIU,-169.85833,-19.05187,,,,,,,,135
Norfolk Island,NFK,167.952344,-29.032574,,,,,,,,136
North Macedonia,MKD,21.700791,41.60048,,,,,,,,137
Northern Mariana Islands,MNP,145.753646,15.188972,,,,,,,,138
Norway,NOR,11.478464,61.343111,14.01.2021,https://worldairlinenews.com/2021/01/14/norwegian-closes-its-long-haul-network-gatwick-jobs-at-stake-will-focus-on-europe-and-737s/,Norwegian Air,"Closes London Gatwick base, with 1,100 jobs at stake, will concentrate on Boeing 737 fleet.",,,,139
Norway,NOR,11.478464,61.343111,14.01.2021,https://www.reuters.com/article/norweg-air-shut-restructuring/update-1-norwegian-air-ends-long-haul-flights-talks-of-state-involvement-idUSL1N2JP0IU,Norwegian Air ,"Norwegian Air to close long-haul operation, focus on European service, seeks state help; ",,,,140
Norway,NOR,11.478464,61.343111,15.01.2021,https://www.cntraveler.com/story/norwegian-air-shuttle-ends-all-us-flights,Norwegian Air ,Norwegian Air Shuttle Ends All U.S. Flights,,,,141
Norway,NOR,11.478464,61.343111,18.01.2021,https://www.ch-aviation.com/portal/news/99530-norwegian-drops-long-haul-cuts-2160-jobs-to-raise-590mn,Norwegian Air ,"Norwegian drops long-haul, cuts 2,160 jobs, to raise $590mn.                                                                                                                                        ",,,,142
Norway,NOR,11.478464,61.343111,21.01.2021,https://www.bloomberg.com/news/articles/2021-01-21/norwegian-air-says-government-is-now-willling-to-provide-support,Norwegian Air ,Norwegian Air Wins State Backing for Slimmer Survival Plan.,,,,143
Norway,NOR,11.478464,61.343111,21.01.2021,https://norwaytoday.info/news/extreme-weather-hits-norway-planes-cancel-departures-roads-closed-bardu-sets-up-crisis-team/,Wideroe Airlines ,"Wideroe Airlines cancels flights to Mo i Rana, Mosjoen, Sandessjoen because of winter weather; road and ferry travel also affected",,,,144
Norway,NOR,11.478464,61.343111,25.01.2021,https://www.businessinsider.com/norwegian-air-us-europe-transatlantic-winners-losers-2021-1?IR=T,Norwegian Air ,7 airlines poised to win big now that Norwegian Air is the lucrative transatlantic market it once dominated,,,,145
Oman,OMN,57.879121,21.990536,12.01.2021,https://timesofoman.com/article/oman-air-adds-flights-to-major-destinations,Oman Air,Oman Air adds flights to major destinations,,,,146
Pakistan,PAK,68.808093,29.37884,04.01.2021,https://www.thenews.com.pk/print/769054-pia-resumes-regular-flights-to-saudi-arabia,PIA,PIA resumes regular flights to Saudi Arabia,,,,147
